command;description
help;help <name>\nВыводит справку по команде help
exit;exit\nВыход из программы                                                                                                                                                                                                        ,<tag2>'\nСоздаёт задачу из входных параметров
add;add\nСоздаёт задачу                                                                                                                                                                                                            ,<tag2>'\nСоздаёт задачу из входных параметров
list;list\nВыводит список задач\nlist <n>\nВыводит n первых задач
actual;actual\nВыводит список актуальных задач\actual <n>\nВыводит n первых актуальных задач
export;export <file>\nЭкспортирует базу данных в файл <file> в формате JSON
import;import <file> [strategy]\nИмпортирует базу данных из файла <file> в формате JSON со стратегией [strategy].\nСтратегии\nadd - добавить все задания из файла\nown - в случае конфликта принимает локальные изменения\ntheir - в случае конфликта принимает изменения из файла
edit;edit\nРедактирует задачу
delete;delete <id_or_name>\nУдаляет задачу с данным именем или id
tags;tags\nВыводит списко всех тегов
search;search <tags>\nНаходит все задания, которые имеют хотя бы один тег из <tags>
done;done <id_or_name>\nЗавершает задачу с данным именем или id
overdue;overdue\nВыводит список просроченных заданий
login;login <username> <password>\nВыполняет вход на сервер
